id_venda;data;id_produto;id_empregado;quantidade;valor_unitario;valor_total
70;;192;17;2;947.82;1895.64
71;28/04/2023;193;22;6;711.49;4268.94
72;19/02/2023;14;64;10;83.95;839.5
73;29/06/2023;125;76;4;651.1;2604.4
74;02/02/2023;134;79;7;74.97;524.79
75;26/01/2023;174;98;3;259.98;779.94
76;21/05/2023;39;15;4;431.92;1727.68
77;16/03/2023;116;32;7;827.66;5793.62
78;24/06/2023;84;22;2;;
79;02/04/2023;21;47;3;951.35;2854.05
80;;6;19;5;642.14;3210.7
81;01/01/2023;58;38;9;447.88;4030.92
82;05/03/2023;25;24;2;220.97;441.94
83;27/01/2023;72;60;2;865.71;1731.42
84;22/02/2023;8;79;9;869.94;7829.46
85;11/05/2023;93;64;2;763.41;1526.82
86;02/05/2023;131;20;5;912.72;4563.6
87;17/01/2023;126;84;9;11.22;100.98
88;25/06/2023;188;63;4;562.83;2251.32
89;27/04/2023;130;88;6;586.15;3516.9
90;;72;21;8;317.26;2538.08
91;05/03/2023;82;95;2;;
92;14/02/2023;33;41;6;298.75;1792.5
93;28/06/2023;88;41;8;727.04;5816.32
94;15/02/2023;160;79;1;111.76;111.76
95;28/05/2023;161;74;6;621.97;3731.82
96;07/04/2023;2;97;8;19.67;157.36
97;07/06/2023;161;77;1;883.71;883.71
98;13/04/2023;194;38;4;364.22;1456.88
99;02/05/2023;143;98;7;208.85;1461.95
100;;49;75;10;175.81;1758.1
101;09/01/2023;6;73;3;897.26;2691.78
102;10/02/2023;114;76;7;616.81;4317.67
103;02/04/2023;62;84;8;947.88;7583.04
104;25/03/2023;132;6;7;;
105;07/05/2023;3;41;10;785.99;7859.9
106;12/01/2023;87;12;10;444.22;4442.2
107;02/05/2023;147;55;9;873.07;7857.63
108;29/04/2023;53;55;4;746.84;2987.36
109;26/05/2023;150;37;3;170.06;510.18
110;;131;28;8;975.05;7800.4
111;03/04/2023;182;63;10;409.23;4092.3
112;18/02/2023;94;85;1;842.05;842.05
113;28/05/2023;37;4;10;745.28;7452.8
114;19/02/2023;177;51;4;509.8;2039.2
115;27/04/2023;98;100;9;444.23;3998.07
116;13/06/2023;6;39;2;601.75;1203.5
117;25/04/2023;186;12;10;;
118;09/02/2023;21;15;3;626.74;1880.22
119;08/01/2023;100;94;1;140.25;140.25
120;;14;78;7;636.22;4453.54
121;10/03/2023;166;41;2;189.17;378.34
122;21/04/2023;14;89;6;872.04;5232.24
123;11/03/2023;145;89;4;597.02;2388.08
124;12/06/2023;5;65;9;405.06;3645.54
125;13/06/2023;45;23;8;602.73;4821.84
126;14/01/2023;80;74;10;82.76;827.6
127;15/04/2023;1;5;10;672.7;6727.0
128;01/01/2023;57;64;4;592.01;2368.04
129;01/05/2023;107;37;6;175.94;1055.64
130;;165;49;5;;
131;25/02/2023;156;79;1;708.33;708.33
132;28/05/2023;114;78;6;213.78;1282.68
133;06/02/2023;20;26;2;131.74;263.48
134;28/02/2023;69;33;1;130.89;130.89
135;12/01/2023;20;53;1;588.82;588.82
136;12/02/2023;126;98;2;965.47;1930.94
137;08/02/2023;184;43;9;642.73;5784.57
138;07/02/2023;84;23;2;349.23;698.46
139;04/05/2023;119;8;4;707.63;2830.52
140;;8;29;2;196.47;392.94
141;27/03/2023;175;34;6;869.46;5216.76
142;20/06/2023;158;82;1;839.73;839.73
143;26/01/2023;136;47;1;;
144;13/03/2023;89;46;8;770.83;6166.64
145;27/05/2023;31;80;4;679.75;2719.0
146;15/04/2023;90;62;5;670.3;3351.5
147;04/03/2023;73;33;2;999.42;1998.84
148;13/01/2023;73;77;9;993.4;8940.6
149;08/04/2023;125;4;9;118.02;1062.18
150;;82;13;6;443.79;2662.74
151;19/04/2023;75;1;9;324.02;2916.18
152;30/03/2023;143;65;8;303.9;2431.2
153;29/05/2023;147;60;10;402.21;4022.1
154;04/02/2023;172;90;9;600.52;5404.68
155;15/03/2023;194;46;3;176.76;530.28
156;03/01/2023;85;26;9;;
157;05/06/2023;117;93;8;523.89;4191.12
158;13/05/2023;48;37;10;117.83;1178.3
159;25/06/2023;87;70;4;611.83;2447.32
160;;171;21;2;718.34;1436.68
161;21/03/2023;47;15;7;436.55;3055.85
162;20/02/2023;15;68;9;658.15;5923.35
163;19/01/2023;34;78;5;484.39;2421.95
164;21/02/2023;27;29;4;264.21;1056.84
165;16/04/2023;164;30;3;585.12;1755.36
166;18/03/2023;132;90;2;405.91;811.82
167;07/01/2023;95;74;9;527.26;4745.34
168;12/03/2023;191;56;7;529.91;3709.37
169;19/06/2023;189;42;1;;
170;;196;7;8;963.3;7706.4
171;30/04/2023;173;47;6;554.72;3328.32
172;21/01/2023;137;26;7;641.61;4491.27
173;02/05/2023;121;42;9;650.14;5851.26
174;18/02/2023;154;91;8;772.25;6178.0
175;01/06/2023;19;100;5;309.04;1545.2
176;26/05/2023;147;36;7;670.87;4696.09
177;10/03/2023;175;49;10;457.25;4572.5
178;10/06/2023;119;21;3;870.57;2611.71
179;06/02/2023;143;35;1;186.66;186.66
180;;138;73;7;551.23;3858.61
181;02/01/2023;64;35;9;501.8;4516.2
182;26/03/2023;146;67;7;;
183;16/06/2023;169;75;10;433.92;4339.2
184;15/02/2023;19;68;7;347.68;2433.76
185;01/02/2023;167;36;10;343.85;3438.5
186;13/06/2023;131;73;8;648.84;5190.72
187;11/03/2023;169;68;8;373.29;2986.32
188;05/01/2023;172;27;1;833.54;833.54
189;19/02/2023;67;44;5;278.44;1392.2
190;;70;2;10;339.67;3396.7
191;12/04/2023;35;98;7;384.69;2692.83
192;08/01/2023;150;44;7;470.55;3293.85
193;18/03/2023;31;47;10;958.05;9580.5
194;16/04/2023;190;30;9;178.77;1608.93
195;24/02/2023;144;12;9;;
196;16/05/2023;3;16;1;307.84;307.84
197;14/04/2023;118;5;7;405.32;2837.24
198;18/04/2023;65;30;4;927.73;3710.92
199;30/05/2023;200;32;5;102.0;510.0
200;;38;98;1;612.4;612.4
201;24/04/2023;66;85;4;310.1;1240.4
202;16/03/2023;67;52;2;937.59;1875.18
203;24/02/2023;6;35;7;942.96;6600.72
204;27/03/2023;60;12;6;501.99;3011.94
205;23/03/2023;173;35;1;125.2;125.2
206;14/05/2023;67;80;8;537.16;4297.28
207;14/03/2023;143;21;7;311.63;2181.41
208;07/03/2023;91;2;3;;
209;20/01/2023;10;25;3;352.64;1057.92
210;;54;33;2;141.2;282.4
211;06/03/2023;110;80;4;610.31;2441.24
212;29/06/2023;131;99;6;831.04;4986.24
213;21/05/2023;117;98;9;826.95;7442.55
214;25/01/2023;79;68;8;483.45;3867.6
215;01/03/2023;191;6;4;445.12;1780.48
216;31/01/2023;5;83;2;653.7;1307.4
217;10/05/2023;126;11;2;465.2;930.4
218;25/02/2023;83;9;2;67.2;134.4
219;05/06/2023;190;7;3;83.88;251.64
220;;103;40;1;514.33;514.33
221;11/04/2023;103;52;1;;
222;15/06/2023;178;63;4;659.17;2636.68
223;03/03/2023;7;27;5;887.74;4438.7
224;27/03/2023;133;55;6;829.26;4975.56
225;29/05/2023;79;21;2;142.47;284.94
226;30/04/2023;167;5;10;684.17;6841.7
227;23/03/2023;173;32;1;330.27;330.27
228;19/05/2023;191;21;4;377.69;1510.76
229;27/04/2023;26;68;4;273.36;1093.44
230;;82;99;2;331.43;662.86
231;06/06/2023;166;42;9;617.94;5561.46
232;23/04/2023;105;64;5;956.66;4783.3
233;18/06/2023;129;2;1;662.11;662.11
234;10/01/2023;58;60;1;;
235;03/02/2023;8;59;8;466.86;3734.88
236;20/03/2023;145;60;6;640.3;3841.8
237;10/03/2023;160;44;7;523.22;3662.54
238;08/01/2023;77;72;1;448.84;448.84
239;09/05/2023;109;51;9;748.75;6738.75
240;;17;5;8;114.31;914.48
241;27/02/2023;159;100;4;740.13;2960.52
242;15/05/2023;28;51;4;776.91;3107.64
243;04/04/2023;96;8;10;107.41;1074.1
244;22/04/2023;81;95;10;30.74;307.4
245;02/06/2023;73;66;8;771.53;6172.24
246;05/02/2023;126;68;2;20.32;40.64
247;18/06/2023;122;62;9;;
248;13/06/2023;140;91;2;328.99;657.98
249;13/01/2023;181;32;8;122.82;982.56
250;;15;17;2;136.81;273.62
251;02/06/2023;59;78;8;602.55;4820.4
252;22/01/2023;158;84;10;616.81;6168.1
253;28/06/2023;174;21;5;679.22;3396.1
254;29/04/2023;39;12;3;674.74;2024.22
255;29/05/2023;141;21;9;548.58;4937.22
256;15/05/2023;151;96;8;750.71;6005.68
257;30/03/2023;22;92;6;755.66;4533.96
258;29/06/2023;27;50;2;116.86;233.72
259;13/02/2023;22;43;3;159.17;477.51
260;;189;97;5;;
261;28/04/2023;19;23;8;615.82;4926.56
262;25/01/2023;128;8;7;581.4;4069.8
263;13/03/2023;129;5;10;562.46;5624.6
264;14/04/2023;64;98;3;991.89;2975.67
265;08/05/2023;46;91;9;559.53;5035.77
266;13/01/2023;137;36;2;361.83;723.66
267;27/02/2023;54;12;6;849.57;5097.42
268;01/05/2023;162;53;1;20.92;20.92
269;24/05/2023;70;56;9;681.6;6134.4
270;;132;4;3;996.37;2989.11
271;03/06/2023;37;85;4;782.6;3130.4
272;29/05/2023;38;46;6;698.66;4191.96
273;26/02/2023;173;20;4;;
274;04/01/2023;14;3;1;592.32;592.32
275;24/02/2023;132;24;8;113.1;904.8
276;27/05/2023;159;60;2;603.38;1206.76
277;20/04/2023;150;24;3;503.27;1509.81
278;08/06/2023;100;64;10;710.6;7106.0
279;04/04/2023;183;55;3;445.8;1337.4
280;;116;92;1;97.71;97.71
281;14/02/2023;161;17;9;933.78;8404.02
282;16/02/2023;143;70;6;639.82;3838.92
283;24/05/2023;69;61;7;576.15;4033.05
284;17/04/2023;113;94;10;341.17;3411.7
285;22/03/2023;109;51;6;280.34;1682.04
286;27/05/2023;170;35;5;;
287;03/04/2023;64;37;10;874.0;8740.0
288;15/03/2023;192;5;4;804.62;3218.48
289;04/01/2023;126;39;4;142.15;568.6
290;;24;57;2;910.3;1820.6
291;23/06/2023;60;60;4;767.86;3071.44
292;01/06/2023;36;85;9;753.86;6784.74
293;07/06/2023;86;92;8;66.48;531.84
294;14/01/2023;120;10;7;254.51;1781.57
295;11/03/2023;44;73;6;434.6;2607.6
296;25/03/2023;82;57;4;43.28;173.12
297;10/06/2023;7;70;5;537.1;2685.5
298;28/05/2023;143;48;2;735.12;1470.24
299;29/05/2023;170;26;7;;
300;;57;37;8;267.56;2140.48
301;10/03/2023;131;87;10;979.76;9797.6
302;18/02/2023;147;89;10;199.28;1992.8
303;18/06/2023;161;50;5;612.44;3062.2
304;12/03/2023;86;33;5;233.06;1165.3
305;02/03/2023;98;28;1;980.71;980.71
306;16/06/2023;86;49;10;547.12;5471.2
307;08/04/2023;65;74;1;616.77;616.77
308;22/01/2023;112;57;5;149.55;747.75
309;24/05/2023;112;51;2;106.59;213.18
310;;88;40;7;549.98;3849.86
311;18/05/2023;99;64;6;808.34;4850.04
312;04/03/2023;49;64;3;;
313;03/06/2023;127;68;7;873.41;6113.87
314;30/04/2023;79;86;4;524.19;2096.76
315;04/06/2023;125;40;4;871.87;3487.48
315;04/06/2023;125;40;4;871.87;3487.48
316;23/04/2023;191;66;10;753.22;7532.2
317;11/05/2023;200;44;9;103.21;928.89
318;06/01/2023;167;52;1;396.82;396.82
319;27/06/2023;171;19;7;823.88;5767.16
320;;12;74;5;964.83;4824.15
321;10/02/2023;164;85;8;294.27;2354.16
322;16/02/2023;143;48;8;799.94;6399.52
323;01/03/2023;198;12;8;524.99;4199.92
324;11/05/2023;109;3;2;323.59;647.18
325;17/04/2023;40;33;2;;
326;08/01/2023;101;32;1;43.05;43.05
327;20/04/2023;19;32;5;445.92;2229.6
328;15/02/2023;119;16;9;805.57;7250.13
329;29/04/2023;21;30;1;423.58;423.58
330;;102;95;2;174.3;348.6
331;10/03/2023;25;3;7;138.53;969.71
332;28/05/2023;162;26;1;39.07;39.07
333;09/01/2023;116;50;5;973.72;4868.6
334;21/06/2023;121;11;6;713.14;4278.84
335;18/04/2023;131;76;2;823.42;1646.84
336;05/06/2023;190;33;10;251.9;2519.0
337;03/02/2023;41;51;5;425.92;2129.6
338;27/02/2023;75;57;2;;
339;30/05/2023;17;69;7;624.72;4373.04
339;30/05/2023;17;69;7;624.72;4373.04
340;;125;16;3;40.8;122.4
341;17/06/2023;156;47;2;331.85;663.7
342;28/05/2023;124;1;7;175.46;1228.22
343;08/05/2023;191;67;8;81.94;655.52
344;16/02/2023;38;15;4;867.72;3470.88
345;27/04/2023;181;46;5;42.86;214.3
346;25/05/2023;39;9;4;938.92;3755.68
347;25/04/2023;134;91;3;68.5;205.5
348;08/04/2023;120;46;7;177.39;1241.73
349;13/03/2023;190;35;6;234.46;1406.76
350;;78;84;3;977.03;2931.09
351;25/01/2023;168;88;1;;
352;30/05/2023;176;83;10;966.58;9665.8
353;19/01/2023;28;84;3;827.78;2483.34
354;14/03/2023;124;19;7;625.13;4375.91
355;15/06/2023;181;61;4;121.45;485.8
356;30/01/2023;9;64;4;105.57;422.28
357;30/03/2023;142;75;1;474.08;474.08
358;19/03/2023;41;68;5;304.27;1521.35
359;02/01/2023;105;86;4;878.47;3513.88
360;;183;16;9;989.14;8902.26
361;12/01/2023;35;11;1;292.44;292.44
362;29/05/2023;69;48;2;577.62;1155.24
363;21/06/2023;161;73;4;228.02;912.08
364;09/03/2023;35;81;9;;
365;06/03/2023;8;45;2;880.19;1760.38
366;17/03/2023;182;76;7;436.12;3052.84
367;21/02/2023;93;22;9;347.41;3126.69
368;07/02/2023;20;29;8;948.63;7589.04
369;02/04/2023;28;4;3;245.06;735.18
370;;67;86;6;788.88;4733.28
371;01/04/2023;183;1;2;278.85;557.7
372;06/01/2023;153;82;8;637.76;5102.08
373;06/01/2023;27;8;1;49.37;49.37
374;03/04/2023;109;99;3;284.05;852.15
374;03/04/2023;109;99;3;284.05;852.15
375;25/06/2023;84;56;8;475.05;3800.4
376;18/02/2023;46;62;1;521.41;521.41
377;12/02/2023;148;97;8;;
378;26/06/2023;192;62;10;468.22;4682.2
379;06/05/2023;9;88;10;300.55;3005.5
380;;17;88;5;291.72;1458.6
381;16/06/2023;183;41;5;351.77;1758.85
382;11/01/2023;147;11;7;498.61;3490.27
383;19/01/2023;76;72;1;395.97;395.97
384;19/04/2023;12;61;8;674.23;5393.84
385;13/04/2023;197;8;1;825.55;825.55
386;28/03/2023;158;47;9;640.04;5760.36
387;25/03/2023;82;18;7;50.15;351.05
388;10/06/2023;127;36;2;668.64;1337.28
389;05/06/2023;168;84;2;101.36;202.72
390;;76;15;1;;
391;29/01/2023;105;74;9;942.31;8480.79
392;10/01/2023;142;82;2;889.16;1778.32
393;01/05/2023;39;28;3;914.15;2742.45
394;04/06/2023;117;2;3;726.73;2180.19
395;04/04/2023;40;2;6;830.73;4984.38
396;12/01/2023;163;65;1;697.93;697.93
397;11/04/2023;62;49;7;581.43;4070.01
398;07/02/2023;28;21;9;731.88;6586.92
399;13/06/2023;99;45;6;853.32;5119.92
400;;122;30;7;547.11;3829.77
401;05/06/2023;172;79;2;390.4;780.8
402;14/04/2023;75;48;9;436.68;3930.12
403;26/02/2023;118;100;10;;
404;03/02/2023;184;28;1;530.55;530.55
405;14/06/2023;56;65;5;649.28;3246.4
406;19/01/2023;157;74;1;947.18;947.18
407;20/06/2023;126;11;2;640.53;1281.06
407;20/06/2023;126;11;2;640.53;1281.06
408;05/03/2023;69;8;1;110.25;110.25
409;06/03/2023;31;4;2;843.31;1686.62
410;;69;30;1;149.15;149.15
411;08/03/2023;75;45;8;977.68;7821.44
412;23/06/2023;107;64;4;108.31;433.24
413;06/01/2023;59;15;10;401.48;4014.8
414;02/05/2023;125;37;5;296.35;1481.75
415;04/02/2023;87;6;10;381.06;3810.6
416;18/01/2023;113;29;4;;
417;22/01/2023;68;69;4;40.63;162.52
418;21/05/2023;162;86;5;483.1;2415.5
419;28/06/2023;131;42;5;835.31;4176.55
420;;51;85;2;266.74;533.48
421;13/04/2023;68;1;5;966.75;4833.75
422;21/05/2023;111;98;8;999.72;7997.76
423;17/01/2023;99;82;4;407.76;1631.04
424;01/06/2023;19;37;8;332.56;2660.48
425;28/01/2023;5;17;7;401.19;2808.33
426;27/05/2023;64;91;5;547.59;2737.95
427;23/02/2023;173;47;5;603.13;3015.65
428;19/05/2023;5;81;6;139.35;836.1
429;20/01/2023;169;46;8;;
430;;17;19;10;944.6;9446.0
431;21/02/2023;96;70;10;981.18;9811.8
432;12/04/2023;75;33;7;381.58;2671.06
433;04/06/2023;192;81;8;446.81;3574.48
434;23/03/2023;92;51;3;895.51;2686.53
435;12/06/2023;48;73;4;808.52;3234.08
436;22/03/2023;81;97;8;855.42;6843.36
437;07/02/2023;67;59;8;71.83;574.64
438;31/01/2023;114;96;5;515.33;2576.65
439;20/06/2023;67;54;6;690.84;4145.04
440;;126;21;10;143.09;1430.9
441;04/02/2023;184;30;2;340.07;680.14
442;16/02/2023;163;19;9;;
443;23/04/2023;71;30;2;680.05;1360.1
444;05/02/2023;25;37;7;53.72;376.04
445;21/05/2023;136;5;1;78.34;78.34
446;13/06/2023;35;66;9;768.45;6916.05
447;03/02/2023;174;78;8;405.11;3240.88
448;12/04/2023;75;99;4;413.04;1652.16
449;22/06/2023;34;45;8;119.89;959.12
450;;16;66;3;527.35;1582.05
450;;16;66;3;527.35;1582.05
451;11/06/2023;124;16;8;121.8;974.4
452;13/01/2023;184;31;6;59.72;358.32
453;16/05/2023;120;55;2;288.19;576.38
454;22/02/2023;39;65;6;328.28;1969.68
455;07/06/2023;181;13;1;;
456;19/01/2023;57;25;5;222.48;1112.4
457;23/01/2023;32;62;6;195.96;1175.76
458;23/02/2023;52;20;10;590.01;5900.1
459;05/06/2023;110;53;2;249.51;499.02
460;;30;63;8;297.07;2376.56
460;;30;63;8;297.07;2376.56
461;08/01/2023;12;31;4;151.45;605.8
462;08/04/2023;127;75;2;142.49;284.98
463;20/03/2023;185;95;9;751.16;6760.44
464;03/06/2023;18;96;1;516.02;516.02
465;28/03/2023;88;50;6;709.91;4259.46
466;10/03/2023;172;64;8;13.78;110.24
467;27/05/2023;137;27;9;366.63;3299.67
468;21/06/2023;196;100;2;;
469;21/05/2023;83;49;2;892.95;1785.9
470;;179;37;6;383.54;2301.24
471;06/06/2023;161;60;1;690.15;690.15
472;18/05/2023;175;23;9;706.82;6361.38
473;13/01/2023;101;33;5;715.92;3579.6
474;17/01/2023;196;47;8;763.43;6107.44
475;21/01/2023;84;83;9;305.07;2745.63
476;11/02/2023;145;48;3;647.71;1943.13
477;10/02/2023;99;47;7;505.4;3537.8
478;15/04/2023;124;71;2;638.08;1276.16
479;21/05/2023;100;31;9;194.16;1747.44
480;;73;38;2;219.87;439.74
481;10/04/2023;109;87;6;;
482;08/01/2023;7;36;2;400.79;801.58
483;11/03/2023;172;21;2;739.73;1479.46
484;06/03/2023;100;21;8;473.47;3787.76
485;18/02/2023;118;54;3;670.2;2010.6
486;16/02/2023;53;74;10;548.37;5483.7
487;02/01/2023;81;100;5;911.96;4559.8
488;11/05/2023;111;17;10;41.11;411.1
489;29/01/2023;171;25;6;274.01;1644.06
490;;90;65;4;51.24;204.96
491;16/01/2023;175;81;4;460.37;1841.48
492;27/01/2023;181;42;8;140.2;1121.6
493;14/05/2023;135;96;9;129.01;1161.09
494;02/06/2023;33;55;5;;
495;26/02/2023;126;12;10;231.03;2310.3
496;15/05/2023;111;51;5;649.99;3249.95
497;08/01/2023;200;45;9;551.49;4963.41
498;14/04/2023;195;29;6;160.8;964.8
499;05/06/2023;79;87;9;938.0;8442.0
500;;104;9;10;586.39;5863.9
501;06/04/2023;178;75;7;787.34;5511.38
502;28/02/2023;90;71;6;372.02;2232.12
503;25/01/2023;138;45;10;897.11;8971.1
504;14/04/2023;68;95;3;155.49;466.47
505;21/02/2023;102;88;1;351.74;351.74
506;16/02/2023;159;46;6;475.29;2851.74
507;26/01/2023;114;5;2;;
508;23/02/2023;161;50;4;634.61;2538.44
509;15/01/2023;61;21;6;534.36;3206.16
510;;62;86;5;624.7;3123.5
510;;62;86;5;624.7;3123.5
511;15/02/2023;141;95;2;551.39;1102.78
511;15/02/2023;141;95;2;551.39;1102.78
512;03/04/2023;8;44;3;174.09;522.27
513;16/03/2023;77;50;1;145.63;145.63
514;09/03/2023;99;48;6;117.8;706.8
514;09/03/2023;99;48;6;117.8;706.8
515;31/03/2023;190;76;8;714.61;5716.88
516;19/01/2023;55;82;5;442.63;2213.15
517;18/04/2023;115;29;10;24.05;240.5
518;12/02/2023;80;66;2;701.33;1402.66
519;21/05/2023;106;8;2;759.74;1519.48
520;;94;65;4;;
521;25/03/2023;88;86;7;783.54;5484.78
522;14/06/2023;74;36;6;607.03;3642.18
523;05/06/2023;170;43;5;383.22;1916.1
524;14/04/2023;66;55;5;229.86;1149.3
525;22/01/2023;101;27;8;810.19;6481.52
526;18/04/2023;141;45;9;408.74;3678.66
527;04/06/2023;34;1;10;902.37;9023.7
528;08/03/2023;148;94;9;763.4;6870.6
529;13/04/2023;91;90;3;67.13;201.39
530;;116;93;1;789.67;789.67
531;23/03/2023;68;65;4;578.1;2312.4
532;03/06/2023;109;20;2;903.21;1806.42
533;28/03/2023;10;59;4;;
534;02/05/2023;193;17;9;48.54;436.86
535;18/06/2023;68;69;6;868.1;5208.6
536;09/04/2023;76;26;8;584.29;4674.32
537;16/02/2023;71;26;3;289.67;869.01
538;12/05/2023;23;84;8;406.93;3255.44
539;16/05/2023;41;19;2;212.63;425.26
540;;68;15;7;42.48;297.36
540;;68;15;7;42.48;297.36
541;21/04/2023;24;27;3;511.85;1535.55
542;13/06/2023;24;24;8;57.16;457.28
543;03/02/2023;185;49;10;826.54;8265.4
544;26/04/2023;23;69;7;54.95;384.65
545;26/02/2023;188;54;5;767.89;3839.45
546;11/04/2023;57;10;6;;
547;15/06/2023;85;61;8;233.86;1870.88
548;28/06/2023;86;47;4;238.11;952.44
549;07/02/2023;164;41;4;967.18;3868.72
550;;58;50;5;761.48;3807.4
551;04/06/2023;179;78;5;715.5;3577.5
552;03/05/2023;47;100;9;377.23;3395.07
553;22/01/2023;54;21;7;228.28;1597.96
554;28/02/2023;31;42;8;664.4;5315.2
555;11/06/2023;9;81;10;30.46;304.6
555;11/06/2023;9;81;10;30.46;304.6
556;17/01/2023;68;48;10;487.05;4870.5
556;17/01/2023;68;48;10;487.05;4870.5
557;03/05/2023;149;65;4;635.84;2543.36
558;22/03/2023;127;88;9;180.37;1623.33
559;14/04/2023;15;96;2;;
560;;1;23;7;467.1;3269.7
561;06/05/2023;57;81;10;731.69;7316.9
562;14/03/2023;141;70;2;809.0;1618.0
563;03/01/2023;81;63;6;668.49;4010.94
564;24/06/2023;109;55;1;729.79;729.79
565;15/01/2023;100;32;1;318.86;318.86
566;24/03/2023;43;35;4;390.51;1562.04
567;02/02/2023;14;34;8;799.57;6396.56
568;28/02/2023;157;83;7;242.62;1698.34
569;26/06/2023;168;83;6;550.97;3305.82
570;;27;80;5;509.75;2548.75
571;05/03/2023;190;99;6;127.31;763.86
572;21/03/2023;123;43;3;;
573;05/04/2023;196;44;10;810.7;8107.0
574;22/01/2023;115;57;7;323.38;2263.66
575;29/04/2023;195;16;5;80.18;400.9
576;13/03/2023;124;97;7;907.03;6349.21
577;22/02/2023;75;5;1;29.6;29.6
578;05/01/2023;57;28;1;935.64;935.64
579;28/02/2023;33;62;5;77.67;388.35
580;;19;86;2;438.44;876.88
581;16/02/2023;167;68;5;81.39;406.95
582;15/05/2023;79;87;1;645.32;645.32
583;23/02/2023;148;29;7;424.15;2969.05
584;15/04/2023;57;8;8;283.56;2268.48
585;03/03/2023;157;74;10;;
586;27/02/2023;69;28;1;112.09;112.09
587;18/06/2023;177;91;9;740.51;6664.59
588;11/05/2023;10;98;1;403.64;403.64
589;02/01/2023;124;24;9;742.76;6684.84
590;;154;43;10;692.88;6928.8
591;06/06/2023;20;91;7;86.21;603.47
592;18/04/2023;147;84;9;101.15;910.35
593;07/06/2023;53;34;3;652.02;1956.06
594;27/01/2023;10;73;6;965.37;5792.22
595;11/03/2023;187;100;1;675.34;675.34
596;06/03/2023;83;26;2;867.43;1734.86
597;20/03/2023;59;22;9;163.28;1469.52
598;17/02/2023;149;22;3;;
599;25/01/2023;28;65;4;704.13;2816.52
600;;7;49;1;391.76;391.76
601;09/05/2023;138;36;9;455.75;4101.75
602;16/04/2023;160;32;9;841.4;7572.6
603;25/05/2023;74;27;6;977.24;5863.44
604;26/03/2023;127;25;6;333.77;2002.62
